date,hour,words
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-05,19,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
2023-12-11,16,1
